CODE,ESYMBOL,EXCHANGE,GUSHU,GUSHUBIJIAO,NAME,REPORTDATE,RN,SCSTC27,SHANGQIGUSHU,SHANGQISHIZHI,SHANGQISHULIANG,SHIZHI,SHULIANG,SHULIANGBIJIAO,SNAME,stockid
1002236,002236,CNSESZ,278370706,-44877044,,2019-09-30,68,0.09525753,"32,325",4693557330.000000012113828,510,4807462092.6200000118,101,-409,大华股份,002236
1002078,002078,CNSESZ,248101223,-76504954,,2019-09-30,69,0.09470375,"32,461",2210568065.369999988801241,245,1967442698.38999997634,33,-212,太阳纸业,002078
1300003,300003,CNSESZ,161591527,-113835036,,2019-09-30,70,0.09440938,"27,543",6340319480.2600000424429,546,4049483666.62000000037,106,-440,乐普医疗,300003
0600031,600031,CNSESH,796177035,-472274094,,2019-09-30,71,0.09393627,"126,845",16591340767.31999997439712,1025,11369408059.80000004796,305,-720,三一重工,600031
0603986,603986,CNSESH,40798536,-963136,,2019-09-30,72,0.09290019,"4,176",3620736962.4000000081482,426,5840324079.12000008437,199,-227,兆易创新,603986
1002439,002439,CNSESZ,85969556,-66560989,,2019-09-30,74,0.09239922,"15,253",4103071660.50000006046962,381,2749306400.88000000652,109,-272,启明星辰,002439
0600976,600976,CNSESH,14117404,-24141690,,2019-09-30,75,0.09209089,"3,826",630892460.06000001568,28,237737083.3599999798,5,-23,健民集团,600976
0603096,603096,CNSESH,12465403,-15058719,,2019-09-30,76,0.09173494,"2,752",1475843421.63999996212,110,688339553.660000004,14,-96,新经典,603096
1002044,002044,CNSESZ,357627819,-105862647,,2019-09-30,77,0.09136551,"46,349",5748405787.00000004992817,394,4346864659.61999996529998,89,-305,美年健康,002044
1002216,002216,CNSESZ,72886126,10014950,,2019-09-30,78,0.09119221,"6,287",642543418.72000001877,39,704808838.4200000206,6,-33,三全食品,002216
1002697,002697,CNSESZ,123840528,-4090133,,2019-09-30,79,0.09105921,"12,793",827711376.670000023089,62,922611933.6000000048,32,-30,红旗连锁,002697
0603520,603520,CNSESH,21074129,-9333264,,2019-09-30,80,0.08979097,"3,041",702410778.30000000239998,45,712305560.1999999969,20,-25,司太立,603520
1300357,300357,CNSESZ,46905411,-46410494,,2019-09-30,81,0.08958526,"9,332",3165275497.599999992404,232,1936255366.0799999764,68,-164,我武生物,300357
1300271,300271,CNSESZ,72194109,-87756353,,2019-09-30,82,0.08848928,"15,995",3037276778,275,1569484670.75,69,-206,华宇软件,300271
0600867,600867,CNSESH,178833900,-57557615,,2019-09-30,83,0.08792277,"23,639",3640429331.00000005287601,287,3129593250,77,-210,通化东宝,600867
1002048,002048,CNSESZ,53434636,-65247668,,2019-09-30,84,0.08697375,"11,868",1271042705.28000000096662,201,793890524.6200000186,26,-175,宁波华翔,002048
1300476,300476,CNSESZ,66717536,-21383259,,2019-09-30,85,0.08653275,"8,810",995538983.499999997878,130,954060764.7999999893,13,-117,胜宏科技,300476
1300395,300395,CNSESZ,29129777,-19213494,,2019-09-30,86,0.08651441,"4,834",855192463.989999999775,102,643476773.9300000018,29,-73,菲利华,300395
1002271,002271,CNSESZ,196323125,-121635020,,2019-09-30,87,0.08634032,"31,796",7204931565.700000012504,463,4126712087.5000001114,69,-394,东方雨虹,002271
0603444,603444,CNSESH,6142764,-9386633,,2019-09-30,88,0.08547697,"1,553",3259940294.1200000051814,343,1659037701.12000000576,72,-271,吉比特,603444
