CINDUSTRY2,CODE,COMPANYCODE,COMPANYNAME,EXCHANGE,ITPROFILE21,ITPROFILE26,ITPROFILE38,NAME,NO,SNAME,STYLE,STYLECODE,SYMBOL
机械设备,0600560,10000377,北京金自天正智能控制股份有限公司,CNSESH,22364.549999999999,010-56982304,www.sse.com.cn,,909,金自天正,464,801890,600560
电气设备,1002927,80132959,贵州泰永长征技术股份有限公司,CNSESZ,22366.369999999999,0755-84361076,,,910,泰永长征,464,801730,002927
医药生物,0603229,80506418,浙江奥翔药业股份有限公司,CNSESH,22400,0576-85589367,,,911,奥翔药业,464,801150,603229
有色金属,0600766,10000715,烟台园城黄金股份有限公司,CNSESH,22422.682199999999,0535-6636299,www.sse.com.cn,,912,园城黄金,464,801050,600766
电子,1300666,80185213,宁波江丰电子材料股份有限公司,CNSESZ,22425.187000000002,0574-58122405,,,913,江丰电子,464,801080,300666
商业贸易,0600857,10000806,宁波中百股份有限公司,CNSESH,22431.991900000001,0574-87367060,www.sse.com.cn,,914,宁波中百,464,801200,600857
电子,0603386,80554745,广东骏亚电子科技股份有限公司,CNSESH,22449.2408,0755-82800329,,,915,广东骏亚,464,801080,603386
计算机,1300872,80543550,天阳宏业科技股份有限公司,CNSESZ,22468.203000000001,"0891-6401153,010-50955911","www.neeq.com.cn,www.neeq.cc",,916,天阳科技,464,801750,300872
电子,0600563,10000379,厦门法拉电子股份有限公司,CNSESH,22500,"0592-6208666,0592-6208560",www.sse.com.cn,,917,法拉电子,464,801080,600563
建筑装饰,1002781,80199638,深圳市奇信集团股份有限公司,CNSESZ,22500,0755-25329819,,,918,奇信股份,464,801720,002781
医药生物,0603880,80400098,江苏南方卫材医药股份有限公司,CNSESH,22518,0519-86361837,,,919,南卫股份,464,801150,603880
计算机,1002253,80114477,四川川大智胜软件股份有限公司,CNSESZ,22562.609499999999,028-68727816,www.cninfo.com.cn,,920,川大智胜,464,801750,002253
商业贸易,0600785,10000734,银川新华百货商业集团股份有限公司,CNSESH,22563.128000000001,0951-6071161,www.sse.com.cn,,921,新华百货,464,801200,600785
建筑装饰,1300746,80197227,汉嘉设计集团股份有限公司,CNSESZ,22573.8328,0571-89975015,,,922,汉嘉设计,464,801720,300746
电子,1300331,80155184,苏州苏大维格科技集团股份有限公司,CNSESZ,22604.884099999999,0512-62868882,www.cninfo.com.cn,,923,苏大维格,464,801080,300331
通信,1300560,80400407,中富通集团股份有限公司,CNSESZ,22626.981199999998,0591-83800952,www.cninfo.com.cn,,924,中富通,464,801770,300560
机械设备,1300260,80179456,昆山新莱洁净应用材料股份有限公司,CNSESZ,22655.930700000001,0512-87881808,www.cninfo.com.cn,,925,新莱应材,464,801890,300260
医药生物,1300404,80207556,广州博济医药生物技术股份有限公司,CNSESZ,22661.945100000001,"020-35647628,020-38473208",www.cninfo.com.cn,,926,博济医药,464,801150,300404
化工,0603630,80400051,拉芳家化股份有限公司,CNSESH,22672,0754-89833339,www.sse.com.cn,,927,拉芳家化,464,801030,603630
计算机,1300659,80349850,中孚信息股份有限公司,CNSESZ,22679.418099999999,0531-66590077,,,928,中孚信息,464,801750,300659
商业贸易,0600774,10000723,汉商集团股份有限公司,CNSESH,22694.800200000001,"027-84843197,027-84774966",www.sse.com.cn,,929,汉商集团,464,801200,600774
休闲服务,0600749,10000556,西藏旅游股份有限公司,CNSESH,22696.5517,0891-6339150,www.sse.com.cn,,930,西藏旅游,464,801210,600749
机械设备,1000856,10001135,唐山冀东装备工程股份有限公司,CNSESZ,22700,0315-8860671,www.cninfo.com.cn,,931,冀东装备,464,801890,000856
医药生物,0603301,80419629,振德医疗用品股份有限公司,CNSESH,22720.473600000001,0575-88751963,,,932,振德医疗,464,801150,603301
医药生物,0603127,80336930,北京昭衍新药研究中心股份有限公司,CNSESH,22745.472900000001,010-67869582,,,933,昭衍新药,464,801150,603127
医药生物,1300254,80179247,山西仟源医药集团股份有限公司,CNSESZ,22797.092100000002,0352-6116426,www.cninfo.com.cn,,934,仟源医药,464,801150,300254
传媒,0603825,80205970,华扬联众数字技术股份有限公司,CNSESH,22861.561399999999,010-65648122,,,935,华扬联众,464,801760,603825
建筑装饰,1300732,80043875,河南省交通规划设计研究院股份有限公司,CNSESZ,22961.518,0371-62037987,,,936,设研院,464,801720,300732
通信,0603703,80277768,浙江盛洋科技股份有限公司,CNSESH,22970,0575-88622076,www.sse.com.cn,,937,盛洋科技,464,801770,603703
通信,1300570,80453148,深圳太辰光通信股份有限公司,CNSESZ,22999.68,0755-32983676,,,938,太辰光,464,801770,300570
综合,0600083,10000056,江苏博信投资控股股份有限公司,CNSESH,23000,0512-68856070,www.sse.com.cn,,939,*ST博信,464,801230,600083
