报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
非流动资产合计(万元),3225039,3265660,3225128,3012531,3276311,3311199,3225411,1768054,1698633,1714553,1693943,1703622,1659864,1835239,1677677,1625839,1422331,1403749,1508648,1477311,1416633,1381331,1421079,1399444,1327151,1328198,1258387,1245488,1230750,1211089,1244580,1214802,1080479,932592,
资产总计(万元),6014560,6110925,6336845,6149422,6478124,6346937,6232620,3977585,3759125,3797754,3695076,3530916,3510638,3658583,3351990,3293364,3249914,3198190,3030845,3011914,3062949,3046478,2985069,2951265,3068915,3000934,2884108,2702660,2913291,2609777,2628163,2531893,2194288,1988574,
短期借款(万元),,500,100670,223174,315370,319626,149925,40487,32513,40997,34238,52457,95726,106558,299391,74799,40556,80558,73112,78048,80625,84241,75122,75928,287857,112825,91146,110660,173127,182261,185660,159014,43077,204424,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2531,4979,6893,10665,12261,31191,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据(万元),,,,,,4757,20659,10959,13395,8550,7485,7397,10097,8571,6502,7416,6622,3784,4990,6469,4698,6191,2600,2600,2750,240926,2550,2550,1760,1760,6,,117,1681,
应付账款(万元),968317,929337,,905613,,954409,972463,708056,639369,626344,612073,592736,618761,603377,558776,578792,607741,551625,591422,577657,624397,615333,588503,566116,612174,583629,538336,481707,550502,520500,505357,442076,389903,321376,
预收账款(万元),,,,,253477,,238889,210469,221982,210630,175002,194860,152813,183079,191631,180483,215372,187969,182026,168636,202089,245809,242166,217936,293343,250524,240795,265082,221357,208229,212286,215599,149752,109215,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),137766,118097,104810,147049,135264,115070,140073,74734,91464,74477,57833,76399,70868,59977,48747,59935,64879,55735,43041,59246,58249,48963,41770,53559,54117,46365,37605,50409,47675,42845,35110,44742,33897,28902,
应交税费(万元),41099,41204,37092,48198,63381,40470,62412,29630,33860,36775,51639,55468,42711,51602,18741,24791,11781,19890,10821,18582,7787,6477,12137,15293,14258,10823,15897,17628,12747,13287,17438,23652,14247,13687,
应付利息(万元),9457,13603,9800,13433,,17294,16564,6006,7161,9800,6485,1991,12510,9030,7661,11132,21605,13864,7498,10763,12464,6924,7990,9080,10853,,14610,9073,12875,10109,5550,4949,2285,270,
应付股利(万元),14515,109182,10651,10651,,83649,25208,56541,3370,52921,1514,1333,1493,32084,31163,1221,10161,22579,1607,1284,1531,15187,2989,1841,6209,,1450,1449,20557,21521,13177,13288,13505,8939,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,144227,,280485,211141,196352,575829,134999,92000,91542,116416,88435,100488,96465,138285,147726,72842,137105,188972,185150,198138,180114,172969,181081,188116,,180163,110183,106185,71578,94055,78793,94633,177476,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,26906,27786,33261,21500,30170,29877,30207,30579,24405,27569,19572,19859,18378,19012,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,230000,,230000,,,,,,
一年内到期的非流动负债(万元),205813,456053,115203,116630,231432,224839,244152,1328,100945,300202,200432,201443,,1223,1224,201321,250000,254592,261856,62191,4334,4334,4523,5023,1700,,1500,102000,152000,252000,152000,152000,500,97,
其他流动负债(万元),20173,17245,18566,16727,8787,11337,11251,,,151758,150625,204282,202284,201410,300,300,194,194,153,153,205827,203772,204991,202877,2156,209462,2156,235968,3586,2280,3586,3586,1027,30,
流动负债合计(万元),1805957,2084112,1937318,2019588,2321981,2300448,2490686,1294709,1266228,1633871,1443948,1507379,1332156,1380945,1321992,1307776,1320131,1449255,1365497,1168180,1400139,1417345,1355761,1331333,1473534,1454553,1356209,1386709,1534902,1331348,1231118,1148365,755203,897289,
长期借款(万元),726938,710253,842766,847313,961796,930965,660929,230200,112400,6700,6700,4000,,,,,236,,28831,34578,36530,25827,21846,30062,31115,20794,20435,20446,112502,13188,113832,114444,255200,2700,
应付债券(万元),334801,199866,349738,349708,349676,349645,349583,349520,349463,199626,299305,99642,299565,299503,299441,299297,304087,299259,199957,399885,254513,254336,254161,254429,254524,254274,253999,54349,,,,,,,
