报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,
专项储备(万元),9404,9404,6444,6444,5016,5935,5151,4094,3223,2376,9014,1527,12582,3299,2862,2392,2625,2519,2400,404458,2514,358611,370870,211759,5662,111350,4997,
盈余公积(万元),18891,18891,18891,18891,16736,16736,16736,16736,13045,13045,15736,13045,13063,13063,13063,11062,11346,11346,11346,,6029,,,,4869,,708,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),412372,402261,424593,419340,425450,424189,404797,400996,365855,363291,424777,378806,379583,345820,337202,302467,294535,297245,309518,,275233,,,,144307,,38834,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,372,,-90,,,,,,,
归属于母公司股东权益合计(万元),939412,1004546,1026441,1015265,1015333,939706,922735,917823,906079,902630,1004915,929137,773372,739931,717582,716579,659625,660895,685299,670774,644392,624927,637186,478075,504499,341350,289139,
少数股东权益(万元),358061,306717,307675,303282,303223,298450,293199,294934,275563,280311,264932,470598,213146,217085,199732,210609,213731,202262,199674,202299,213458,213827,16939,14647,12411,10017,7953,
所有者权益(或股东权益)合计(万元),1297473,1311263,1334116,1318546,1318556,1238156,1215934,1212757,1181643,1182942,1269847,1399734,986517,957017,917315,927188,873356,863157,884973,873072,857850,838754,654125,492722,516910,351367,297092,
负债和所有者权益(或股东权益)总计(万元),5228898,5019046,4870323,4903098,4772187,4539973,4447294,4537379,4425154,4305895,4225830,4380840,3785763,3748255,3023741,3152012,3156209,3272701,3210910,3307571,3167578,3070616,2820636,2194975,2008043,1718728,1413460,		
