报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31,
长期应付款(万元),,153206,,,16680,35966,54408,,88344,79765,103048,,,,,,,9579,21954,34190,60008,70345,77484,84081,112770,117728,121799,,,,200,,,,,0,,
专项应付款(万元),,,,,,,,,,,,,,,,,35,,,,,,,,,,,200,200,200,,5200,,,,0,,
预计非流动负债(万元),4802,4757,4668,4668,4625,4582,4539,4496,4413,4413,4372,4331,1629,1629,1629,1629,1188,1188,1188,1188,1505,1505,1505,1505,2200,1628,1447,,,,1391,,,,,0,,
长期递延收益(万元),7661,7782,7903,7724,7847,7897,8017,8137,,7421,,7661,,,,6777,,,,6420,,,,,,,,,,,,,,,,0,,
递延所得税负债(万元),,,,,,,,,,,,,6777,,6777,,158,158,158,158,,,,,,,,,,,,,,,,0,,
其他非流动负债(万元),,,,,,,,,12377,,7541,,,6777,,,6420,6420,6420,,7380,7380,2639,2639,2858,2858,2858,,,,7934,500,500,,500,0,,
非流动负债合计(万元),433831,647260,566134,566625,599849,592802,595885,545171,675815,650671,714302,693416,579632,614366,555060,474128,447456,394088,417021,504427,655622,765091,744577,658245,481454,509367,511425,410927,443977,394517,400317,347300,308500,271000,269500,140000,83000,
负债合计(万元),1276114,1263165,1363395,1314657,1408913,1338700,1503506,1356616,1614046,1690491,1750513,1677038,1629060,1659226,1683322,1707928,1644429,1626335,1614122,1741866,1544831,1473342,1467369,1377300,1174801,995908,1107966,983047,991814,931342,907707,957295,660469,550619,513367,352517,197946,
实收资本(或股本)(万元),733336,733336,660000,660000,660000,660000,660000,660000,660000,660000,660000,660000,660000,660000,660000,660000,658930,658930,658930,658930,580000,580000,580000,580000,250000,250000,250000,200000,200000,200000,200000,200000,200000,200000,200000,200000,112500,
资本公积(万元),726777,726777,113,113,113,113,113,113,113,113,17624,17624,17624,17624,17624,17624,17624,17624,17624,17624,17624,17624,17624,17624,,,,15374,8627,3715,,3715,3715,,4756,1357,1315,
