报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,
预计非流动负债(万元),10,8,3,3,5,5,54,54,1301,1301,1548,1548,,,,,,,,,,,,,
长期递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,
递延所得税负债(万元),7019,3563,4111,2007,855,223,732,1484,1295,3921,3084,8061,3319,12,177,,290,358,603,864,1508,494,8519,8519,
其他非流动负债(万元),23158,45187,21641,15544,14538,15479,51010,90791,83238,86351,96947,72751,81124,14800,12146,16865,15675,17534,10029,11798,10522,32797,18151,7155,
非流动负债合计(万元),,,,,,,,,,,,,,,,,,,,,,,,,
负债合计(万元),2344487,2168089,2055141,1407287,1277188,1490478,1410129,1313526,1757833,2010742,2380027,3364090,1863550,683981,731978,583492,665220,779267,863211,1087436,630115,553740,532846,1085910,
实收资本(或股本)(万元),329882,274902,274902,274902,274902,274902,247400,247400,247400,247400,247400,247400,190000,190000,190000,187905,177105,177105,177105,177105,177105,177105,102228,102228,
资本公积(万元),420058,475038,475038,475038,475038,475038,407245,407245,407245,407245,407245,407245,121749,121749,122176,22878,9495,9685,9089,9714,9725,8042,959,16354,
减:库存股(万元),,,,,,,,,,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,,,,,,,,
盈余公积(万元),34555,34555,34555,34948,32562,32562,32562,28477,28477,23149,23149,23149,9571,4244,1650,32845,30991,30991,26706,26706,19758,19758,15332,15332,
一般风险准备(万元),130219,130157,130083,130843,125971,125971,125971,117717,117717,106969,106969,106969,79592,68939,33324,31656,29802,29802,25517,25517,18569,18569,14143,14143,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),175357,148612,158892,140443,147124,143157,124522,120054,120541,135578,153803,124371,52524,22559,12741,67079,94299,89186,117747,94382,85678,57964,101236,79956,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),1100690,1071174,1082089,1059341,1056521,1049848,936663,923631,924803,925048,943716,924529,461269,406158,390316,371123,368595,363672,378783,356043,326507,297109,245163,239279,
少数股东权益(万元),11117,11030,10899,10886,7953,7869,3362,3316,3201,3164,3167,2915,4818,4715,4550,1699,,1630,,1582,,1584,,1617,
所有者权益(或股东权益)合计(万元),1111807,1082204,1092988,1070227,1064474,1057716,940025,926947,928004,928211,946882,927444,466088,410873,394865,372821,368595,365302,378783,357625,326507,298693,245163,240896,
负债和所有者权益(或股东权益)总计(万元),3456294,3250293,3148129,2477514,2341662,2548195,2350155,2240473,2685837,2938953,3326909,4291534,2329638,1094855,1126843,956314,1033815,1144568,1241994,1445061,956622,852433,778009,1326805,		
