报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-03-31,2012-12-31,2011-12-31,2010-12-31,
长期递延收益(万元),143061,144526,134066,139585,137611,106623,99144,99529,100728,98033,99357,98487,81528,81787,81741,82528,82625,77688,70864,71232,,,,,,,,,
递延所得税负债(万元),121037,120431,116610,117728,141044,137376,112350,116068,117701,120469,122599,107494,104613,107705,133175,129312,125313,121798,127928,125914,119301,117722,115420,110781,,,64568,,
其他非流动负债(万元),,,,,,,,,,195,,574,10454,9666,10189,14063,29214,25593,21760,21517,94898,89748,87238,81455,,,59105,,
非流动负债合计(万元),19076326,18962163,19743515,19480493,20380836,20231495,19776423,19597517,18849339,18323217,18069672,14006703,12000583,11985023,11596061,11322086,11343627,11467187,7396990,7392652,7762383,7606054,7160798,6941351,,,4987417,,
负债合计(万元),26256099,25493208,25418826,25543002,25199925,25441350,25334127,25658850,25458372,25325058,24949517,20519495,13775932,14068981,13789069,13847280,13291338,13690134,9238616,9746479,9079085,9305096,10219067,9589117,9055782,9802057,9013933,7619881,
实收资本(或股本)(万元),5049861,4544875,4544875,4544875,4544875,4544875,4544875,4544875,4544875,4544875,4544875,4544875,4544875,4544875,4544875,4544875,4544875,4544875,4544875,4544875,3530000,3530000,2790464,1020000,,,373265,,
资本公积(万元),1069296,335315,335077,335052,325440,325227,344416,308422,52485,52810,52453,52453,335964,335964,335964,335964,335964,335964,452609,452609,-693994,-692894,-965576,-3689513,,,-3350329,,
减:库存股(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专项储备(万元),21541,20578,20274,19714,19507,14595,12670,13141,11446,11752,11629,10415,,,,,,,,,,,,,,,,,
盈余公积(万元),334150,334150,334150,334150,273221,273221,271212,271212,221834,221834,221834,221834,112078,112078,112078,112078,50449,50449,50415,50415,,,,2607803,,,3078056,,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),2310319,1982744,2059529,1807716,1774066,1460112,1568191,1313926,1281706,1024516,971300,632544,972513,699449,707442,513696,486346,248645,178557,29374,329684,132516,9134,2554330,,,1794102,,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,10970,,43830,55603,65439,,44517,40484,27387,,18127,-2883,-774,,136,47,,-201794,,,-181213,,
归属于母公司股东权益合计(万元),8876818,7292635,7362898,7111492,7017226,6675957,6803568,6491899,6163273,5918355,5878830,5546363,6008884,5731787,5727057,5536045,5435295,5176585,5230250,5079524,3167263,2969670,1834023,2290827,,,1713881,,
少数股东权益(万元),4494426,4188983,4191432,4201073,4211416,4021741,3961933,3610789,3439632,3258384,3221672,2461914,2368672,2285060,2254763,2117922,2205341,1970069,910465,860502,937766,890500,857644,864011,,,609087,,
所有者权益(或股东权益)合计(万元),13371244,11481619,11554331,11312565,11228641,10697698,10765501,10102687,9602904,9176739,9100502,8008276,8377556,8016847,7981820,7653967,7640636,7146653,6140715,5940026,4105029,3860170,2691667,3154838,2465104,2395534,2322969,1659883,
负债和所有者权益(或股东权益)总计(万元),39627343,36974827,36973156,36855567,36428567,36139048,36099628,35761537,35061277,34501797,34050019,28527771,22153488,22085828,21770889,21501247,20931974,20836787,15379331,15686505,13184114,13165266,12910734,12743955,11520886,12197591,11336901,,		
