报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,
代理买卖证券款(万元),697326,705651,808925,477266,488777,621121,556599,538246,543203,605065,592957,612274,699083,768333,779067,812840,1605966,1766473,442128,200245,165945,,184743,,207757,191765,
代理承销证券款(万元),,,,,,,,38156,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
流动负债合计(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款(万元),43408,40510,36787,31544,29438,20802,24409,23080,,,,,,,,,,,,27644,25867,,21756,,15002,8618,
应付债券(万元),644409,598389,591780,659899,659882,600963,651247,651578,651864,649852,729845,729871,479919,379946,379938,299989,299986,453407,139977,79971,79965,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,29,29,29,29,153,153,153,153,153,153,153,153,153,,153,153,153,,,,,,
长期递延收益(万元),6154,6206,6257,6309,6388,6411,6463,6514,,6617,,6720,,,,,,,,,,,,,,,
递延所得税负债(万元),2161,1931,2019,1454,983,610,578,627,535,499,500,239,9335,6758,7600,9150,5608,7508,5084,2254,,,293,,1368,477,
其他非流动负债(万元),38287,38269,32133,30540,30372,35677,35910,46665,3898,26256,8034,13938,8718,10148,16819,23332,28536,7045,25836,16071,12881,,89601,,13150,11181,
非流动负债合计(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计(万元),2554779,2600199,2929493,2440023,2384071,2502147,2598478,2392983,2121540,2300726,2371146,2257975,2498608,2278128,2582181,2669852,3809073,3757360,1564506,1109065,648491,,615502,,608712,669732,
实收资本(或股本)(万元),350240,350240,350240,350240,350240,350240,350240,350240,350240,350240,218900,218900,218900,218900,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,
