报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
专项储备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盈余公积(万元),3800,3800,3800,3800,2319,2319,4359,2319,,2537,4128,4128,5011,2537,,,,,,,,,,,,,,,,,,,,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),108650,90723,69244,65341,50089,38785,32447,24226,34982,-3203,122099,114648,102271,-34747,75021,67731,56982,52315,45645,43284,42547,43634,42795,41553,40736,47768,47238,51714,59781,90424,52150,22187,-9053,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,-66,-73,-77,-74,-74,-78,-82,-77,-74,-60,-60,-41,-45,-50,-52,,-29,-0,,
归属于母公司股东权益合计(万元),613011,594954,572484,445193,428863,417266,408553,402622,408334,344798,430694,413747,361376,318409,326807,319510,308757,304498,297436,294679,293608,293213,292534,290891,289163,296456,294577,297571,303922,333421,281618,113663,34058,
少数股东权益(万元),40645,37550,43301,43626,45420,37897,23181,23080,23727,25389,2603,2816,4175,7782,4196,2823,2679,3185,3338,7870,8044,8251,8426,8531,8775,9051,9118,9244,9312,4695,4800,1909,-6,
所有者权益(或股东权益)合计(万元),653656,632504,615785,488820,474283,455163,431735,425703,432062,370188,433297,416563,365552,326191,331003,322333,311436,307683,300774,302549,301652,301464,300961,299422,297938,305507,303695,306815,313235,338116,286418,115572,34051,
负债和所有者权益(或股东权益)总计(万元),2861871,2614444,2425625,2233184,2078077,1991554,1825620,1912356,1839654,1812401,1573266,1507455,1423714,1510862,1227266,1125652,1227876,1195831,1095564,1042242,1049591,986884,986443,1020280,1079888,1012926,944924,1050366,978359,882413,733235,362525,106992,		
